class_idx,gloss,support,correct,accuracy,precision,recall,f1,predicted_as_this
88,RECENT1,4,0,0.0,0.0,0.0,0.0,0
89,RESEARCH1,5,0,0.0,0.0,0.0,0.0,0
90,RIVER1,4,0,0.0,0.0,0.0,0.0,0
91,ROCKINGCHAIR1,4,0,0.0,0.0,0.0,0.0,0
92,SHAVE1,5,0,0.0,0.0,0.0,0.0,0
93,SPECIAL1,5,0,0.0,0.0,0.0,0.0,0
94,TAKEOFF1,5,1,0.2,0.2,0.2,0.20000000000000004,5
95,THEY1,3,0,0.0,0.0,0.0,0.0,0
96,THIRD1,6,0,0.0,0.0,0.0,0.0,0
97,TWINS1,4,0,0.0,0.0,0.0,0.0,0
98,TYPE1,5,0,0.0,0.0,0.0,0.0,0
99,WHATFOR1,5,0,0.0,0.0,0.0,0.0,0
